ID,surveyID,ID2015,GroupID,RA,Dec,z,StellarMass,tag,CC
18809,-1,522048,-1,      149.99406,        2.09371,        0.66650,        9.85717,-1,       -1.00000
18810,-1,443716,-1,      149.99020,        1.96845,        0.59750,       10.62509,-1,       -1.00000
18811,-1,450440,-1,      149.98906,        1.98724,        0.18520,       10.08887,-1,       -1.00000
18812,-1,534883,-1,      149.98799,        2.11139,        0.95600,       11.24095,-1,       -1.00000
18813,-1,515892,-1,      149.98666,        2.08281,        0.19910,        8.71304,-1,       -1.00000
18814,-1,504315,-1,      149.98427,        2.06468,        0.67820,       10.21113,-1,       -1.00000
18815,-1,476437,-1,      149.98395,        2.02223,        0.92170,       10.79406,-1,       -1.00000
18816,-1,535635,-1,      149.98305,        2.11472,        0.34570,        9.59001,-1,       -1.00000
18817,-1,518096,-1,      149.98221,        2.08425,        0.42450,       10.36010,-1,       -1.00000
18818,-1,492981,-1,      149.98173,        2.04837,        0.89650,       10.33795,-1,       -1.00000
18819,-1,499282,-1,      149.98082,        2.05775,        0.35720,        8.97383,-1,       -1.00000
18820,-1,522451,-1,      149.97990,        2.09396,        0.30940,        9.08645,-1,       -1.00000
18821,-1,452756,-1,      149.97986,        1.98241,        0.21940,        9.28480,-1,       -1.00000
18822,-1,483364,-1,      149.97917,        2.03440,        0.16850,        8.20568,-1,       -1.00000
18823,-1,452100,-1,      149.97876,        1.98106,        0.66840,       11.09813,-1,       -1.00000
18824,-1,440430,-1,      149.97841,        1.96414,        0.42380,        9.04115,-1,       -1.00000
18825,-1,522467,-1,      149.97788,        2.09430,        0.89510,       10.27945,-1,       -1.00000
18826,-1,499880,-1,      149.97729,        2.05921,        0.29870,        8.98063,-1,       -1.00000
18827,-1,500968,-1,      149.97708,        2.06038,        0.35820,        9.29469,-1,       -1.00000
18828,-1,490426,-1,      149.97478,        2.04157,        0.36110,       10.64916,-1,       -1.00000
18829,-1,542654,-1,      149.97453,        2.12606,        0.39000,        9.50226,-1,       -1.00000
18830,-1,507676,-1,      149.97441,        2.07024,        0.35470,        9.35226,-1,       -1.00000
18831,-1,462517,-1,      149.97301,        2.00086,        0.69460,        9.74100,-1,       -1.00000
18832,-1,493794,-1,      149.97267,        2.04950,        0.71440,       10.45022,-1,       -1.00000
18833,-1,524957,-1,      149.97191,        2.09764,        0.66710,       10.30556,-1,       -1.00000
18834,-1,462668,-1,      149.97125,        2.00075,        0.73570,       10.78166,-1,       -1.00000
18835,-1,494211,-1,      149.97118,        2.04977,        0.80050,       10.74288,-1,       -1.00000
18836,-1,497850,-1,      149.97087,        2.05623,        0.63740,        9.48651,-1,       -1.00000
18837,-1,440593,-1,      149.97069,        1.96379,        0.50030,        9.98929,-1,       -1.00000
18838,-1,502525,-1,      149.96948,        2.06303,        0.88710,        9.95018,-1,       -1.00000
18839,-1,537124,-1,      149.96785,        2.11745,        0.68550,       10.31757,-1,       -1.00000
18840,-1,524853,-1,      149.96771,        2.09526,        0.34150,       10.55171,-1,       -1.00000
18841,-1,532375,-1,      149.96724,        2.10848,        0.37070,       10.25864,-1,       -1.00000
18842,-1,461578,-1,      149.96704,        1.99914,        0.17470,        8.19204,-1,       -1.00000
18843,-1,510459,-1,      149.96681,        2.07603,        0.71440,        9.26429,-1,       -1.00000
18844,-1,482275,-1,      149.96629,        2.03268,        0.72610,       11.30506,-1,       -1.00000
