GroupID,cenID,cenID2015,RA_avg,Dec_avg,z_avg,HaloMass,GroupTag,Richness
6255,7375,757364,      150.02917,        2.45115,        0.73056,       12.45389,0,3
6256,7378,733879,      150.03593,        2.41134,        0.37060,       11.42884,0,1
6257,7379,751786,      150.03336,        2.43601,        0.34702,       12.64378,1,3
6258,7382,710498,      150.03725,        2.37551,        0.21780,       10.94072,0,1
6259,7383,670377,      150.03896,        2.31266,        0.88910,       11.72173,0,1
6260,7384,681060,      150.03978,        2.33228,        0.94180,       11.70393,0,1
6261,7385,757760,      150.04022,        2.44668,        0.32260,       11.39540,0,1
6262,7386,749501,      150.04248,        2.43380,        0.34120,       11.89431,0,1
6263,7387,686279,      150.04494,        2.34012,        0.59540,       11.40833,0,1
6264,7388,655843,      150.04802,        2.29481,        0.49090,       11.22186,0,1
6265,7389,753004,      150.04935,        2.43978,        0.44060,       11.56091,0,1
6266,7390,758149,      150.04997,        2.44728,        0.73100,       12.26959,0,1
6267,7391,664661,      150.05034,        2.30627,        0.92160,       12.36022,0,1
6268,7392,690276,      150.05283,        2.34396,        0.47640,       11.58783,0,1
6269,7393,661723,      150.05647,        2.30130,        0.73034,       13.39190,0,2
6270,7395,704764,      150.05724,        2.36694,        0.69160,       11.60219,0,1
6271,7396,713475,      150.05742,        2.37859,        0.60200,       11.60598,0,1
6272,7397,665083,      150.05730,        2.30516,        0.75080,       12.90358,0,2
6273,7399,675730,      150.05968,        2.32326,        0.22030,       11.33329,0,1
6274,7400,741244,      150.06684,        2.42005,        0.68870,       12.67479,1,2
6275,7402,704831,      150.06227,        2.36653,        0.79650,       11.66843,0,1
6276,7403,690455,      150.06251,        2.34477,        0.91740,       11.75783,0,1
6277,7404,709791,      150.06461,        2.37123,        0.33930,       11.98726,0,1
6278,7405,763293,      150.06307,        2.45329,        0.72963,       12.13564,0,2
6279,7407,669322,      150.06552,        2.31454,        0.35980,       11.54678,0,1
6280,7408,672693,      150.06476,        2.32109,        0.72959,       12.48482,0,2
6281,7410,673677,      150.06718,        2.32174,        0.12010,       11.08593,0,1
6282,7411,699227,      150.06725,        2.35866,        0.66780,       11.53715,0,1
6283,7412,737203,      150.06772,        2.41614,        0.44160,       11.51765,0,1
6284,7413,737209,      150.06775,        2.41413,        0.35010,       11.49628,0,1
6285,7414,692398,      150.07370,        2.34680,        0.79660,       11.76069,0,1
6286,7415,673482,      150.07391,        2.32565,        0.22210,       12.11524,0,1
6287,7416,731865,      150.07408,        2.40755,        0.91430,       11.64771,0,1
6288,7417,687585,      150.07431,        2.33833,        0.43830,       11.74290,0,1
6289,7418,660128,      150.07443,        2.29984,        0.27920,       11.23202,0,1
6290,7419,707887,      150.07145,        2.37409,        0.34760,       12.66982,0,6
6291,7425,736471,      150.07521,        2.41524,        0.53390,       11.75829,0,1
6292,7426,684637,      150.07547,        2.33624,        0.85200,       12.35292,0,1
6293,7427,744466,      150.07299,        2.42804,        0.75049,       12.61070,0,2
6294,7429,709246,      150.07767,        2.37133,        0.21940,       11.59540,0,1
6295,7430,755548,      150.07869,        2.44339,        0.65500,       12.09589,0,1
6296,7431,724736,      150.07670,        2.39624,        0.89033,       12.47486,0,3
6297,7434,741899,      150.07968,        2.42109,        0.65570,       11.50670,0,1
6298,7435,691226,      150.08008,        2.34673,        0.59670,       11.42970,0,1
6299,7436,688168,      150.08105,        2.34010,        0.47570,       11.92693,0,1
6300,7437,723226,      150.08125,        2.39465,        0.91550,       11.77263,0,1
6301,7438,662537,      150.07893,        2.30326,        0.50188,       11.87312,0,2
6302,7440,740344,      150.02910,        2.43391,        0.22007,       13.35865,0,16
6303,7456,764298,      150.08159,        2.45778,        0.93632,       12.13463,0,2
6304,7458,735025,      150.08220,        2.41385,        0.75710,       11.84807,0,1
6305,7459,678371,      150.08487,        2.32786,        0.31900,       11.58590,0,1
6306,7460,687240,      150.08540,        2.34031,        0.37690,       11.34869,0,1
6307,7461,733036,      150.08696,        2.41050,        0.53780,       11.34864,0,1
6308,7462,675092,      150.08746,        2.32541,        0.94020,       11.66305,0,1
6309,7463,728910,      150.08758,        2.40404,        0.74780,       12.00725,0,1
6310,7464,694397,      150.08890,        2.35141,        0.66780,       11.40365,0,1
6311,7465,659855,      150.07661,        2.30630,        0.12282,       11.91324,0,3
6312,7468,717896,      150.08998,        2.38362,        0.53130,       12.43726,0,1
6313,7469,715368,      150.09012,        2.38305,        0.39340,       11.68759,0,1
6314,7470,765126,      150.09117,        2.45869,        0.59710,       11.77801,0,1
6315,7471,740162,      150.08847,        2.41835,        0.25861,       11.96854,0,2
6316,7473,687190,      150.09134,        2.33776,        0.33910,       11.75344,0,1
6317,7474,777099,      150.08439,        2.46878,        0.72809,       13.60108,0,11
6318,7485,759124,      150.09294,        2.45027,        0.83725,       12.15011,0,2
6319,7487,676950,      150.09048,        2.32292,        0.38045,       11.68302,0,2
6320,7489,705751,      150.09328,        2.36702,        0.20160,       11.04967,0,1
6321,7490,709844,      150.09121,        2.36697,        0.22139,       12.31611,0,3
6322,7493,717831,      150.08078,        2.38962,        0.35282,       12.71524,0,4
6323,7497,684742,      150.09464,        2.33636,        0.90970,       12.79771,0,1
6324,7498,696683,      150.09476,        2.35382,        0.26600,       11.02446,0,1
6325,7499,669507,      150.09474,        2.31363,        0.37800,       11.92713,0,1
6326,7500,744557,      150.09497,        2.42517,        0.34790,       12.05670,0,1
6327,7501,763864,      150.09500,        2.45592,        0.50260,       12.06394,0,1
6328,7502,717360,      150.09534,        2.38473,        0.26520,       12.16698,0,1
6329,7503,706104,      150.09210,        2.36561,        0.37364,       11.66758,0,2
6330,7505,701709,      150.07271,        2.36373,        0.21763,       12.73506,0,3
6331,7508,683763,      150.09489,        2.33253,        0.66877,       12.48772,0,2
